original ,teamID,searchID,School Name,search_term
134-195,134,195,Kansas State,@kstatembb OR kstate OR emaw OR kstatembb
133-189,133,189,Kansas,@kuhoops OR kubball OR payheed
127-184,127,184,IPFW,@ipfwathletics OR godons OR donhoops OR ipfwmbb OR 3nation
126-177,126,177,Iowa State,@cyclonembb OR cyclones OR cyclonenation
122-167,122,167,Indiana,@indianambb OR iubb OR goiu OR hoosiernation
12-27,12,27,Arizona State,@sundevilhoops OR sundevils OR arizonastate OR forksup
111-161,111,161,Hofstra,@hofstrambb OR roarwithpride OR hofstra
11-21,11,21,Arizona,@aplayersprogram OR beardown OR aplayersprogram
109-156,109,156,Hawaii,@hawaiimbb OR hawaiimbb OR gobows
106-151,106,151,Hampton,@hampton_mbb OR dtp OR hampton
102-146,102,146,Gonzaga,@zagmbb OR gozags OR gonzagamadness OR unitedwezag
101-140,101,140,Georgia Tech,@gtmbb OR gojackets OR togetherweswarm OR jointheswarm
