hex,98-134,97-127,96-121,90-115,85-110,82-104,73-99,7-16,65-91,64-87,62-83,59-78,56-72,50-66,48-62,4-11,39-58,353-523,350-519,35-52,349-514,344-509,343-504,342-498,341-494,336-488,333-483,331-478,33-47,328-473,327-465,325-458,324-453,323-448,320-442,314-437,312-432,310-426,309-420,30-41,3-5,299-415,297-411,295-406,294-402,290-398,288-393,287-386,285-381,284-377,282-373,278-368,274-363,269-358,265-354,263-350,260-345,253-340,252-335,248-332,237-328,236-322,235-316,230-311,225-306,224-303,222-299,22-35,219-293,218-287,217-283,215-279,21-31,204-274,199-267,194-262,187-257,177-252,176-247,170-243,169-237,168-233,166-229,159-224,153-218,149-212,137-207,136-200,134-195,133-189,127-184,126-177,122-167,12-27,111-161,11-21,109-156,106-151,102-146,101-140,random,total
ID12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID120,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119
ID121,162,28,6,87,142,2,367,0,3,6,36,124,107,8,4,854,55,0,17,127,0,91,27,0,33,1,0,28,2,29,14,9,29,0,4,190,3,10,10,26,1,527,5,340,2702,0,78,1,25,9,11,2,129,6,31,51,0,8,0,0,46,19,65,10,33,394,180,1,486,222,32,151,413,0,48,28,593,0,0,119,62,269,83,7,362,30,252,8,171,80,0,61,76,20,1,325,0,24,2,4,128,30596
ID122,138,183,5,85,199,2,198,0,5,4,5,69,58,5,2,346,150,3,4,135,4,190,16,0,24,56,3,1,5,39,51,12,49,0,54,66,0,6,11,51,9,490,1,293,15029,1,56,2,57,28,1,4,131,7,30,77,1,17,0,3,29,95,46,3,13,148,155,0,373,175,15,108,353,0,35,28,437,1,0,24,77,221,51,22,306,70,200,17,140,93,1,179,107,21,1,309,1,24,7,9,79,51886
ID123,202,29,5,218,323,33,671,3,20,4,15,676,48,39,7,1588,151,0,22,159,1,159,75,0,46,19,1,8,6,48,46,19,68,1,39,148,3,3,2,143,1,559,32,844,2614,9,130,2,210,10,4,0,209,16,43,214,0,4,0,0,77,4,161,50,30,199,543,4,877,459,60,200,810,1,90,39,1122,5,6,69,130,409,218,21,1987,37,436,5,214,106,4,112,52,104,1,348,3,35,30,9,203,53936
ID124,29,3,0,30,48,1,127,0,2,3,3,74,10,2,0,382,9,0,14,26,1,16,9,0,16,0,2,0,2,1,9,5,13,0,0,31,2,4,0,11,1,83,2,145,580,0,14,0,53,2,1,1,27,4,43,22,0,1,0,0,3,0,17,0,0,43,86,2,97,44,17,24,122,0,17,5,224,0,0,12,22,81,15,3,378,2,91,0,13,7,0,5,5,7,0,23,5,3,2,1,41,9094
ID125,7,1,0,7,34,0,105,0,0,1,0,13,0,2,0,101,10,0,4,6,0,5,3,0,9,0,0,1,0,1,1,1,5,0,0,1,1,0,0,9,0,7,1,24,136,0,8,0,13,2,0,0,5,1,0,0,0,0,0,0,0,0,8,1,0,25,13,0,42,5,0,5,24,0,7,2,62,0,0,10,3,10,9,1,780,0,10,0,4,0,0,2,1,3,0,8,0,3,0,4,10,4563
ID126,45,1,0,8,120,0,83,0,0,0,1,14,0,1,0,155,4,1,2,39,0,6,6,0,0,0,0,1,0,4,4,0,9,0,0,11,0,3,0,3,0,7,0,7,66,1,25,0,1,0,0,0,10,0,2,0,0,0,0,0,0,1,20,1,1,17,168,0,55,7,31,18,3,0,15,3,66,0,0,3,4,15,20,0,1498,0,23,0,0,0,0,2,1,2,1,4,0,2,0,0,8,7926
ID127,49,5,2,42,222,0,180,1,0,1,26,46,8,7,0,375,15,0,7,46,0,17,3,0,5,1,15,0,1,7,5,2,43,0,1,22,0,0,1,6,0,1,2,18,79,1,17,0,0,0,3,0,27,0,10,11,0,4,0,0,7,0,62,2,1,45,408,5,66,61,6,43,12,0,13,5,125,1,0,41,52,82,56,3,3290,8,66,1,9,8,0,6,5,2,0,26,0,7,3,36,40,17863
ID128,150,11,1,101,333,0,158,0,4,1,19,84,10,12,0,913,42,0,11,115,0,14,4,0,6,4,22,0,1,14,18,6,22,0,1,48,0,7,1,24,0,4,3,33,81,1,29,0,4,4,1,2,35,3,37,3,0,0,1,1,12,1,29,4,6,41,544,2,230,439,9,38,15,0,22,8,173,0,1,20,25,102,47,6,2534,153,205,4,40,16,0,9,12,23,1,160,0,6,2,25,96,22258
